"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"165","cluster4","GO:0055082","cellular chemical homeostasis","25/284","300/20876",5.32001399607929e-13,1.72258384217878e-11,1.42703823706083e-11,"AT1G23020/AT5G26820/AT3G56970/AT1G74770/AT3G56980/AT4G16370/AT1G68880/AT2G41240/AT4G19690/AT3G58810/AT5G03570/AT5G04150/AT4G37270/AT5G19970/AT4G19680/AT1G72200/AT3G18290/AT3G25930/AT5G67330/AT3G14940/AT2G34830/AT3G47640/AT3G21710/AT3G56240/AT2G18790",25
"166","cluster4","GO:0042594","response to starvation","25/284","302/20876",6.17427744080854e-13,1.93254883897307e-11,1.60097930833597e-11,"AT1G23020/AT3G56970/AT1G74770/AT3G56980/AT1G68880/AT2G41240/AT4G19690/AT3G58810/AT5G03570/AT5G04150/AT1G53310/AT5G19970/AT4G19680/AT1G72200/AT3G18290/AT4G14680/AT3G25930/AT4G30490/AT1G78000/AT3G14940/AT2G34830/AT1G62300/AT5G09570/AT3G47640/AT3G21710",25
"167","cluster4","GO:0031669","cellular response to nutrient levels","25/284","312/20876",1.27739304617388e-12,3.86926474308798e-11,3.20541073386247e-11,"AT1G23020/AT3G56970/AT1G74770/AT3G56980/AT1G68880/AT2G41240/AT4G19690/AT3G58810/AT5G03570/AT5G04150/AT1G53310/AT5G19970/AT4G19680/AT1G72200/AT3G18290/AT4G14680/AT3G25930/AT4G30490/AT1G78000/AT3G14940/AT2G34830/AT1G62300/AT5G09570/AT3G47640/AT3G21710",25
"168","cluster4","GO:0019725","cellular homeostasis","25/284","317/20876",1.81804718803229e-12,5.33483221738224e-11,4.41952918406533e-11,"AT1G23020/AT5G26820/AT3G56970/AT1G74770/AT3G56980/AT4G16370/AT1G68880/AT2G41240/AT4G19690/AT3G58810/AT5G03570/AT5G04150/AT4G37270/AT5G19970/AT4G19680/AT1G72200/AT3G18290/AT3G25930/AT5G67330/AT3G14940/AT2G34830/AT3G47640/AT3G21710/AT3G56240/AT2G18790",25
"169","cluster4","GO:0031668","cellular response to extracellular stimulus","26/284","349/20876",2.36397266469839e-12,6.72657676409632e-11,5.57249058759843e-11,"AT1G23020/AT3G56970/AT1G74770/AT3G56980/AT1G68880/AT2G41240/AT4G19690/AT3G58810/AT5G03570/AT5G04150/AT1G53310/AT5G19970/AT4G19680/AT1G72200/AT3G18290/AT4G14680/AT3G25930/AT4G30490/AT1G78000/AT3G14940/AT2G34830/AT5G24090/AT1G62300/AT5G09570/AT3G47640/AT3G21710",26
"170","cluster4","GO:0071496","cellular response to external stimulus","26/284","350/20876",2.5229791054171e-12,6.96787464701959e-11,5.77238872725461e-11,"AT1G23020/AT3G56970/AT1G74770/AT3G56980/AT1G68880/AT2G41240/AT4G19690/AT3G58810/AT5G03570/AT5G04150/AT1G53310/AT5G19970/AT4G19680/AT1G72200/AT3G18290/AT4G14680/AT3G25930/AT4G30490/AT1G78000/AT3G14940/AT2G34830/AT5G24090/AT1G62300/AT5G09570/AT3G47640/AT3G21710",26
"171","cluster4","GO:0034614","cellular response to reactive oxygen species","11/284","41/20876",5.3562864817409e-12,1.43701514467277e-10,1.19046487518993e-10,"AT5G36890/AT1G56160/AT3G53280/AT2G28160/AT2G05830/AT4G19690/AT5G55620/AT1G49820/AT5G38820/AT3G12900/AT5G04950",11
"172","cluster4","GO:0031667","response to nutrient levels","25/284","335/20876",6.13545797184847e-12,1.60033195432381e-10,1.3257612401158e-10,"AT1G23020/AT3G56970/AT1G74770/AT3G56980/AT1G68880/AT2G41240/AT4G19690/AT3G58810/AT5G03570/AT5G04150/AT1G53310/AT5G19970/AT4G19680/AT1G72200/AT3G18290/AT4G14680/AT3G25930/AT4G30490/AT1G78000/AT3G14940/AT2G34830/AT1G62300/AT5G09570/AT3G47640/AT3G21710",25
"173","cluster4","GO:0009991","response to extracellular stimulus","26/284","373/20876",1.06133055622652e-11,2.69348484404514e-10,2.23136068577923e-10,"AT1G23020/AT3G56970/AT1G74770/AT3G56980/AT1G68880/AT2G41240/AT4G19690/AT3G58810/AT5G03570/AT5G04150/AT1G53310/AT5G19970/AT4G19680/AT1G72200/AT3G18290/AT4G14680/AT3G25930/AT4G30490/AT1G78000/AT3G14940/AT2G34830/AT5G24090/AT1G62300/AT5G09570/AT3G47640/AT3G21710",26
"174","cluster4","GO:0000041","transition metal ion transport","20/284","231/20876",6.09647849808803e-11,1.50647192360649e-09,1.24800487814046e-09,"AT1G23020/AT1G74770/AT3G53480/AT2G28160/AT1G68880/AT4G19690/AT3G58810/AT5G03570/AT5G19970/AT5G35750/AT4G19680/AT1G72200/AT3G25930/AT5G67330/AT1G78000/AT3G14940/AT2G41480/AT2G34830/AT1G78090/AT3G21710",20
"175","cluster4","GO:0006598","polyamine catabolic process","10/284","38/20876",6.26248427951582e-11,1.50781352268342e-09,1.24911629758764e-09,"AT1G02500/AT1G51680/AT2G37040/AT2G36880/AT3G53260/AT5G13700/AT1G07890/AT1G65840/AT4G38620/AT3G56240",10
"176","cluster4","GO:0009699","phenylpropanoid biosynthetic process","16/284","139/20876",7.62683415523612e-11,1.79039931794168e-09,1.48321853703145e-09,"AT1G02500/AT1G51680/AT3G21240/AT2G37040/AT2G40890/AT3G53260/AT5G22630/AT1G35580/AT1G28680/AT1G48850/AT5G48930/AT5G24760/AT1G65840/AT4G25030/AT4G38620/AT3G56240",16
"177","cluster4","GO:0034599","cellular response to oxidative stress","11/284","52/20876",8.96930746120421e-11,2.05419017221238e-09,1.70175050419253e-09,"AT5G36890/AT1G56160/AT3G53280/AT2G28160/AT2G05830/AT4G19690/AT5G55620/AT1G49820/AT5G38820/AT3G12900/AT5G04950",11
"178","cluster4","GO:0006826","iron ion transport","15/284","120/20876",9.21126130606345e-11,2.05937484914133e-09,1.70604564039621e-09,"AT1G23020/AT1G74770/AT2G28160/AT1G68880/AT4G19690/AT3G58810/AT5G03570/AT5G19970/AT5G35750/AT4G19680/AT1G72200/AT3G25930/AT3G14940/AT2G34830/AT3G21710",15
"179","cluster4","GO:0010167","response to nitrate","17/284","197/20876",1.81237152342485e-09,3.95771362906032e-08,3.27868434715047e-08,"AT1G09560/AT1G74770/AT3G48450/AT1G68880/AT3G50740/AT4G19690/AT3G58810/AT5G03570/AT5G19970/AT4G19680/AT1G72200/AT3G25930/AT1G78000/AT3G14940/AT4G30190/AT2G34830/AT3G21710",17
"180","cluster4","GO:0006595","polyamine metabolic process","10/284","54/20876",2.61706646769744e-09,5.58505775719977e-08,4.62682325269955e-08,"AT1G02500/AT1G51680/AT2G37040/AT2G36880/AT3G53260/AT5G13700/AT1G07890/AT1G65840/AT4G38620/AT3G56240",10
"181","cluster4","GO:0015706","nitrate transport","16/284","206/20876",2.46740579728158e-08,5.14865343032756e-07,4.26529329635342e-07,"AT1G09560/AT1G74770/AT1G68880/AT3G50740/AT4G19690/AT3G58810/AT5G03570/AT5G19970/AT4G19680/AT1G72200/AT3G25930/AT1G78000/AT3G14940/AT4G30190/AT2G34830/AT3G21710",16
"182","cluster4","GO:0006576","cellular biogenic amine metabolic process","14/284","157/20876",3.31735789828325e-08,6.77173710106081e-07,5.60990271586115e-07,"AT1G02500/AT1G51680/AT1G80360/AT3G50740/AT2G37040/AT2G36880/AT3G53260/AT1G56430/AT5G04950/AT5G13700/AT1G07890/AT1G65840/AT4G38620/AT3G56240",14
"183","cluster4","GO:0042398","cellular modified amino acid biosynthetic process","9/284","56/20876",6.08874704863913e-08,1.19567279938803e-06,9.90529901628561e-07,"AT1G02500/AT1G51680/AT2G37040/AT2G36880/AT3G53260/AT1G07890/AT1G65840/AT4G38620/AT3G56240",9
"184","cluster4","GO:0006979","response to oxidative stress","24/284","486/20876",6.11206542818164e-08,1.19567279938803e-06,9.90529901628561e-07,"AT5G36890/AT1G56160/AT3G53280/AT2G28160/AT2G37040/AT2G05830/AT4G19690/AT3G53260/AT5G55620/AT1G49820/AT5G38820/AT1G35580/AT3G12900/AT1G52760/AT1G45145/AT5G04950/AT1G73120/AT5G59820/AT1G07890/AT3G25250/AT2G20560/AT5G54660/AT2G21640/AT3G56240",24
"185","cluster4","GO:0044106","cellular amine metabolic process","14/284","167/20876",7.23676133655794e-08,1.38679977449549e-06,1.14886501132467e-06,"AT1G02500/AT1G51680/AT1G80360/AT3G50740/AT2G37040/AT2G36880/AT3G53260/AT1G56430/AT5G04950/AT5G13700/AT1G07890/AT1G65840/AT4G38620/AT3G56240",14
"186","cluster4","GO:0009308","amine metabolic process","16/284","229/20876",1.07894251713094e-07,2.0262540471719e-06,1.67860741086266e-06,"AT1G02500/AT1G51680/AT1G80360/AT3G50740/AT2G37040/AT2G36880/AT3G53260/AT1G27450/AT1G56430/AT5G04950/AT5G13700/AT1G07890/AT1G65840/AT4G38620/AT3G56240/AT3G01650",16
"187","cluster4","GO:0009963","positive regulation of flavonoid biosynthetic process","11/284","103/20876",1.60361116601927e-07,2.95253114684725e-06,2.44596212938749e-06,"AT1G51680/AT3G21240/AT2G37040/AT2G40890/AT3G53260/AT3G01860/AT1G28680/AT5G48930/AT1G27100/AT3G56240/AT3G18280",11
"188","cluster4","GO:0044550","secondary metabolite biosynthetic process","18/284","317/20876",3.88571493187475e-07,7.01670446351998e-06,5.81284075841182e-06,"AT1G02500/AT1G51680/AT3G21240/AT2G37040/AT2G40890/AT3G53260/AT5G22630/AT1G35580/AT1G28680/AT1G48850/AT5G48930/AT5G24760/AT1G65840/AT4G25030/AT4G38620/AT3G56240/AT1G03980/AT3G56400",18
"189","cluster4","GO:0015698","inorganic anion transport","16/284","256/20876",4.89841178304639e-07,8.67850691373691e-06,7.18952593380593e-06,"AT1G09560/AT1G74770/AT1G68880/AT3G50740/AT4G19690/AT3G58810/AT5G03570/AT5G19970/AT4G19680/AT1G72200/AT3G25930/AT1G78000/AT3G14940/AT4G30190/AT2G34830/AT3G21710",16
"190","cluster4","GO:0009310","amine catabolic process","11/284","117/20876",5.89635011994478e-07,1.0066677750233e-05,8.3395267725152e-06,"AT1G02500/AT1G51680/AT3G50740/AT2G37040/AT2G36880/AT3G53260/AT5G13700/AT1G07890/AT1G65840/AT4G38620/AT3G56240",11
"191","cluster4","GO:0042402","cellular biogenic amine catabolic process","11/284","117/20876",5.89635011994478e-07,1.0066677750233e-05,8.3395267725152e-06,"AT1G02500/AT1G51680/AT3G50740/AT2G37040/AT2G36880/AT3G53260/AT5G13700/AT1G07890/AT1G65840/AT4G38620/AT3G56240",11
"192","cluster4","GO:0071369","cellular response to ethylene stimulus","12/284","144/20876",6.69938909991439e-07,1.12334399371779e-05,9.3061062872871e-06,"AT5G36890/AT1G56160/AT3G53280/AT2G28160/AT2G05830/AT4G19690/AT5G55620/AT1G49820/AT5G38820/AT3G12900/AT1G78080/AT5G04950",12
"193","cluster4","GO:0009962","regulation of flavonoid biosynthetic process","11/284","122/20876",8.98107013479827e-07,1.47951313273256e-05,1.22567143667884e-05,"AT1G51680/AT3G21240/AT2G37040/AT2G40890/AT3G53260/AT3G01860/AT1G28680/AT5G48930/AT1G27100/AT3G56240/AT3G18280",11
"194","cluster4","GO:0009812","flavonoid metabolic process","15/284","244/20876",1.37760390191007e-06,2.23029321360958e-05,1.8476393530155e-05,"AT1G51680/AT3G21240/AT2G45400/AT2G37040/AT2G40890/AT3G53260/AT3G01860/AT1G28680/AT5G35750/AT4G25640/AT5G48930/AT1G27100/AT5G05270/AT3G56240/AT3G18280",15
"195","cluster4","GO:0000302","response to reactive oxygen species","17/284","318/20876",1.87882986042986e-06,2.99020548973498e-05,2.47717264381386e-05,"AT5G36890/AT1G56160/AT3G53280/AT2G28160/AT2G05830/AT4G19690/AT5G55620/AT1G49820/AT5G38820/AT1G35580/AT3G12900/AT1G52760/AT5G04950/AT1G07890/AT2G20560/AT5G54660/AT3G56240",17
"196","cluster4","GO:0009813","flavonoid biosynthetic process","13/284","217/20876",9.25670359381663e-06,0.00014486741124323,0.000120012350102289,"AT1G51680/AT3G21240/AT2G45400/AT2G37040/AT2G40890/AT3G53260/AT3G01860/AT1G28680/AT5G48930/AT1G27100/AT5G05270/AT3G56240/AT3G18280",13
"197","cluster4","GO:0010043","response to zinc ion","7/284","60/20876",1.67017915160977e-05,0.000257098069403536,0.000212987470757484,"AT1G74770/AT3G07720/AT3G58810/AT2G20030/AT1G52760/AT5G13740/AT4G35040",7
"198","cluster4","GO:0046686","response to cadmium ion","18/284","470/20876",8.52099788733153e-05,0.00129051887358134,0.00106910313051579,"AT1G02500/AT2G35840/AT2G36880/AT3G52880/AT3G01860/AT1G27450/AT1G53310/AT1G35580/AT2G45290/AT1G52760/AT1G45145/AT1G07890/AT5G54500/AT3G03780/AT3G53230/AT3G08590/AT3G56240/AT2G36460",18
"199","cluster4","GO:0009723","response to ethylene","15/284","353/20876",0.000107474044304351,0.00160187504129819,0.00132703957796016,"AT5G36890/AT1G56160/AT3G53280/AT2G28160/AT2G05830/AT4G19690/AT5G55620/AT1G49820/AT5G38820/AT3G12900/AT1G78080/AT5G04950/AT3G19580/AT2G28210/AT4G25030",15
"200","cluster4","GO:0015849","organic acid transport","13/284","280/20876",0.000129533014866123,0.00187125386091215,0.00155020077710227,"AT1G09560/AT5G58620/AT5G38820/AT5G54800/AT3G06350/AT1G48850/AT4G24380/AT5G59480/AT4G30190/AT1G62300/AT3G53150/AT5G33320/AT5G56350",13
"201","cluster4","GO:0046942","carboxylic acid transport","13/284","280/20876",0.000129533014866123,0.00187125386091215,0.00155020077710227,"AT1G09560/AT5G58620/AT5G38820/AT5G54800/AT3G06350/AT1G48850/AT4G24380/AT5G59480/AT4G30190/AT1G62300/AT3G53150/AT5G33320/AT5G56350",13
"202","cluster4","GO:0072350","tricarboxylic acid metabolic process","4/284","23/20876",0.000242151037530974,0.00344514885214522,0.00285406087297272,"AT1G53310/AT1G56430/AT5G04950/AT3G14940",4
"203","cluster4","GO:0015711","organic anion transport","13/284","302/20876",0.000271438755285305,0.00380419389870002,0.00315150416584196,"AT1G09560/AT5G58620/AT5G38820/AT5G54800/AT3G06350/AT1G48850/AT4G24380/AT5G59480/AT4G30190/AT1G62300/AT3G53150/AT5G33320/AT5G56350",13
"204","cluster8","GO:0055072","iron ion homeostasis","15/246","141/20876",1.2530262341012e-10,9.47860190340659e-08,8.76182922468558e-08,"AT3G11050/AT5G22890/AT3G56090/AT2G26820/AT5G01600/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT1G58290/AT4G04770/AT4G30670/AT5G40510/AT3G23090",15
"205","cluster8","GO:0055076","transition metal ion homeostasis","16/246","176/20876",3.19010238296741e-10,9.47860190340659e-08,8.76182922468558e-08,"AT3G11050/AT5G22890/AT3G56090/AT2G26820/AT5G01600/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT1G58290/AT3G21180/AT4G04770/AT4G30670/AT5G40510/AT3G23090",16
"206","cluster8","GO:0006879","cellular iron ion homeostasis","14/246","127/20876",3.26848341496779e-10,9.47860190340659e-08,8.76182922468558e-08,"AT3G11050/AT5G22890/AT3G56090/AT2G26820/AT5G01600/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT4G04770/AT4G30670/AT5G40510/AT3G23090",14
"207","cluster8","GO:0046916","cellular transition metal ion homeostasis","15/246","154/20876",4.3934142303845e-10,9.55567595108629e-08,8.833074926352e-08,"AT3G11050/AT5G22890/AT3G56090/AT2G26820/AT5G01600/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT3G21180/AT4G04770/AT4G30670/AT5G40510/AT3G23090",15
"208","cluster8","GO:0050801","ion homeostasis","21/246","343/20876",8.48499244715037e-10,1.39598367683777e-07,1.29041927296316e-07,"AT3G11050/AT5G22890/AT5G49760/AT5G04340/AT3G56090/AT2G26820/AT5G47560/AT5G01600/AT3G45710/AT1G65960/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT1G58290/AT3G21180/AT3G16240/AT4G04770/AT4G30670/AT5G40510/AT3G23090",21
"209","cluster8","GO:0098771","inorganic ion homeostasis","18/246","248/20876",9.71558602233673e-10,1.39598367683777e-07,1.29041927296316e-07,"AT3G11050/AT5G22890/AT5G04340/AT3G56090/AT2G26820/AT5G47560/AT5G01600/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT1G58290/AT3G21180/AT4G04770/AT4G30670/AT5G40510/AT3G23090",18
"210","cluster8","GO:0030003","cellular cation homeostasis","19/246","282/20876",1.14511676279568e-09,1.39598367683777e-07,1.29041927296316e-07,"AT3G11050/AT5G22890/AT5G49760/AT3G56090/AT2G26820/AT5G47560/AT5G01600/AT3G45710/AT1G65960/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT3G21180/AT3G16240/AT4G04770/AT4G30670/AT5G40510/AT3G23090",19
"211","cluster8","GO:0048878","chemical homeostasis","22/246","387/20876",1.32844974613554e-09,1.39598367683777e-07,1.29041927296316e-07,"AT3G11050/AT5G22890/AT5G49760/AT5G04340/AT4G36260/AT3G56090/AT2G26820/AT5G47560/AT5G01600/AT3G45710/AT1G65960/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT1G58290/AT3G21180/AT3G16240/AT4G04770/AT4G30670/AT5G40510/AT3G23090",22
"212","cluster8","GO:0055080","cation homeostasis","20/246","319/20876",1.44412104500459e-09,1.39598367683777e-07,1.29041927296316e-07,"AT3G11050/AT5G22890/AT5G49760/AT3G56090/AT2G26820/AT5G47560/AT5G01600/AT3G45710/AT1G65960/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT1G58290/AT3G21180/AT3G16240/AT4G04770/AT4G30670/AT5G40510/AT3G23090",20
"213","cluster8","GO:0006826","iron ion transport","13/246","120/20876",1.76436441449539e-09,1.52732595608753e-07,1.41182943793209e-07,"AT3G11050/AT5G22890/AT3G56090/AT2G26820/AT5G01600/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT4G30670/AT5G40510/AT3G23090",13
"214","cluster8","GO:0006873","cellular ion homeostasis","19/246","291/20876",1.93110178355895e-09,1.52732595608753e-07,1.41182943793209e-07,"AT3G11050/AT5G22890/AT5G49760/AT3G56090/AT2G26820/AT5G47560/AT5G01600/AT3G45710/AT1G65960/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT3G21180/AT3G16240/AT4G04770/AT4G30670/AT5G40510/AT3G23090",19
"215","cluster8","GO:0055082","cellular chemical homeostasis","19/246","300/20876",3.19402348791836e-09,2.31566702874081e-07,2.14055609190318e-07,"AT3G11050/AT5G22890/AT5G49760/AT3G56090/AT2G26820/AT5G47560/AT5G01600/AT3G45710/AT1G65960/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT3G21180/AT3G16240/AT4G04770/AT4G30670/AT5G40510/AT3G23090",19
"216","cluster8","GO:0019725","cellular homeostasis","19/246","317/20876",7.86906942692333e-09,5.26622338571023e-07,4.86799112726269e-07,"AT3G11050/AT5G22890/AT5G49760/AT3G56090/AT2G26820/AT5G47560/AT5G01600/AT3G45710/AT1G65960/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT3G21180/AT3G16240/AT4G04770/AT4G30670/AT5G40510/AT3G23090",19
"217","cluster8","GO:0006875","cellular metal ion homeostasis","15/246","195/20876",1.15001931312772e-08,7.14654858872226e-07,6.60612597916976e-07,"AT3G11050/AT5G22890/AT3G56090/AT2G26820/AT5G01600/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT3G21180/AT4G04770/AT4G30670/AT5G40510/AT3G23090",15
"218","cluster8","GO:0055065","metal ion homeostasis","16/246","227/20876",1.29118957687631e-08,7.4888995458826e-07,6.9225883279544e-07,"AT3G11050/AT5G22890/AT3G56090/AT2G26820/AT5G01600/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT1G58290/AT3G21180/AT4G04770/AT4G30670/AT5G40510/AT3G23090",16
"219","cluster8","GO:0000041","transition metal ion transport","16/246","231/20876",1.65347141612563e-08,8.99075082518309e-07,8.31086948631565e-07,"AT3G11050/AT5G22890/AT3G56090/AT2G26820/AT5G01600/AT3G45710/AT4G35380/AT2G29750/AT1G51830/AT4G30170/AT5G26280/AT2G40300/AT5G20550/AT4G30670/AT5G40510/AT3G23090",16
"220","cluster8","GO:0042592","homeostatic process","22/246","468/20876",4.1590423263815e-08,2.12845107291289e-06,1.96749742251113e-06,"AT3G11050/AT5G22890/AT5G49760/AT5G04340/AT4G36260/AT3G56090/AT2G26820/AT5G47560/AT5G01600/AT3G45710/AT1G65960/AT2G29750/AT1G51830/AT4G30170/AT2G40300/AT1G58290/AT3G21180/AT3G16240/AT4G04770/AT4G30670/AT5G40510/AT3G23090",22
"221","cluster8","GO:0015698","inorganic anion transport","15/246","256/20876",4.12797734720218e-07,1.99518905114772e-05,1.8443126861184e-05,"AT5G22890/AT1G73260/AT2G26820/AT1G07610/AT3G45710/AT2G29750/AT1G51830/AT3G45650/AT4G30170/AT1G63010/AT1G76430/AT4G30670/AT5G40510/AT3G04720/AT3G23090",15
"222","cluster8","GO:0010167","response to nitrate","13/246","197/20876",6.52200636084058e-07,2.98639238627963e-05,2.76056114109817e-05,"AT5G22890/AT1G73260/AT2G26820/AT1G07610/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT4G21680/AT4G30670/AT5G40510/AT3G04720/AT3G23090",13
"223","cluster8","GO:0006857","oligopeptide transport","10/246","112/20876",8.49909008793165e-07,3.69710418825027e-05,3.41752885641041e-05,"AT1G33440/AT4G10770/AT4G39650/AT4G27730/AT3G45710/AT4G37780/AT3G45650/AT4G21680/AT4G36670/AT5G53550",10
"224","cluster8","GO:0015706","nitrate transport","13/246","206/20876",1.08097762697665e-06,4.47833588318897e-05,4.13968374441182e-05,"AT5G22890/AT1G73260/AT2G26820/AT1G07610/AT3G45710/AT2G29750/AT1G51830/AT3G45650/AT4G30170/AT4G30670/AT5G40510/AT3G04720/AT3G23090",13
"225","cluster8","GO:0010106","cellular response to iron ion starvation","9/246","116/20876",9.64861569597879e-06,0.000381558893431889,0.000352705377594631,"AT5G22890/AT2G26820/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT4G30670/AT5G40510/AT3G23090",9
"226","cluster8","GO:0010039","response to iron ion","6/246","54/20876",4.05299514336667e-05,0.00153308946727348,0.00141715711191402,"AT3G11050/AT3G56090/AT5G01600/AT2G40300/AT1G58290/AT4G04770",6
"227","cluster8","GO:0031667","response to nutrient levels","14/246","335/20876",4.72680289179909e-05,0.00171346604827717,0.00158389360058531,"AT1G30270/AT5G22890/AT4G37870/AT2G26820/AT1G20630/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT1G63010/AT5G51060/AT4G30670/AT5G40510/AT3G23090",14
"228","cluster8","GO:0009267","cellular response to starvation","13/246","294/20876",4.97129281122386e-05,0.0017300098983059,0.0015991864032737,"AT1G30270/AT5G22890/AT4G37870/AT2G26820/AT1G20630/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT1G63010/AT4G30670/AT5G40510/AT3G23090",13
"229","cluster8","GO:0042594","response to starvation","13/246","302/20876",6.53416865340087e-05,0.00218643335709952,0.00202109508145679,"AT1G30270/AT5G22890/AT4G37870/AT2G26820/AT1G20630/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT1G63010/AT4G30670/AT5G40510/AT3G23090",13
"230","cluster8","GO:0031669","cellular response to nutrient levels","13/246","312/20876",9.07461042414455e-05,0.0029240411366688,0.00270292489826372,"AT1G30270/AT5G22890/AT4G37870/AT2G26820/AT1G20630/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT1G63010/AT4G30670/AT5G40510/AT3G23090",13
"231","cluster8","GO:0009991","response to extracellular stimulus","14/246","373/20876",0.000147529139927592,0.00458394113346447,0.00423730311671731,"AT1G30270/AT5G22890/AT4G37870/AT2G26820/AT1G20630/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT1G63010/AT5G51060/AT4G30670/AT5G40510/AT3G23090",14
"232","cluster8","GO:0009817","defense response to fungus, incompatible interaction","5/246","44/20876",0.000162820282352203,0.0048846084705661,0.00451523396432244,"AT4G37870/AT4G11650/AT3G15356/AT3G04720/AT4G16260",5
"233","cluster8","GO:0031668","cellular response to extracellular stimulus","13/246","349/20876",0.00027295960435196,0.00787415844074241,0.00727871391255559,"AT1G30270/AT5G22890/AT4G37870/AT2G26820/AT1G20630/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT1G63010/AT4G30670/AT5G40510/AT3G23090",13
"234","cluster8","GO:0071496","cellular response to external stimulus","13/246","350/20876",0.000280573461681626,0.00787415844074241,0.00727871391255559,"AT1G30270/AT5G22890/AT4G37870/AT2G26820/AT1G20630/AT3G45710/AT2G29750/AT1G51830/AT4G30170/AT1G63010/AT4G30670/AT5G40510/AT3G23090",13
"235","cluster3","GO:0009407","toxin catabolic process","30/194","211/20876",6.13904489702208e-27,4.55517131359038e-24,4.11639115726638e-24,"AT3G10500/AT1G30400/AT4G11600/AT2G29490/AT4G15610/AT5G16970/AT1G77450/AT1G17170/AT2G34660/AT2G15480/AT1G78340/AT3G44190/AT4G01870/AT5G14730/AT1G17180/AT1G05680/AT1G78380/AT1G68620/AT3G28740/AT1G59700/AT2G30140/AT2G15490/AT1G05560/AT1G75270/AT2G29480/AT2G29420/AT2G02390/AT3G09270/AT1G79410/AT2G47730",30
"236","cluster3","GO:0009404","toxin metabolic process","30/194","223/20876",3.32436328786192e-26,1.2002609907167e-23,1.08464498664568e-23,"AT3G10500/AT1G30400/AT4G11600/AT2G29490/AT4G15610/AT5G16970/AT1G77450/AT1G17170/AT2G34660/AT2G15480/AT1G78340/AT3G44190/AT4G01870/AT5G14730/AT1G17180/AT1G05680/AT1G78380/AT1G68620/AT3G28740/AT1G59700/AT2G30140/AT2G15490/AT1G05560/AT1G75270/AT2G29480/AT2G29420/AT2G02390/AT3G09270/AT1G79410/AT2G47730",30
"237","cluster3","GO:0098754","detoxification","30/194","226/20876",4.99026247248577e-26,1.2002609907167e-23,1.08464498664568e-23,"AT3G10500/AT1G30400/AT4G11600/AT2G29490/AT4G15610/AT5G16970/AT1G77450/AT1G17170/AT2G34660/AT2G15480/AT1G78340/AT3G44190/AT4G01870/AT5G14730/AT1G17180/AT1G05680/AT1G78380/AT1G68620/AT3G28740/AT1G59700/AT2G30140/AT2G15490/AT1G05560/AT1G75270/AT2G29480/AT2G29420/AT2G02390/AT3G09270/AT1G79410/AT2G47730",30
"238","cluster3","GO:0010583","response to cyclopentenone","26/194","148/20876",6.47040965345929e-26,1.2002609907167e-23,1.08464498664568e-23,"AT3G10500/AT2G29490/AT4G15610/AT5G16970/AT1G77450/AT1G17170/AT2G34660/AT2G15480/AT1G78340/AT3G44190/AT4G01870/AT5G14730/AT1G17180/AT1G05680/AT1G78380/AT1G68620/AT3G28740/AT1G59700/AT2G30140/AT2G15490/AT1G05560/AT1G75270/AT2G29480/AT2G29420/AT3G09270/AT1G79410",26
"239","cluster3","GO:0009636","response to toxic substance","36/194","430/20876",4.6128568709581e-24,6.84547959650182e-22,6.18608384589539e-22,"AT3G10500/AT1G30400/AT4G11600/AT2G29490/AT4G15610/AT5G16970/AT1G77450/AT1G17170/AT5G05410/AT5G12020/AT2G34660/AT2G15480/AT1G78340/AT3G44190/AT4G01870/AT5G14730/AT1G17180/AT1G05680/AT1G78380/AT1G68620/AT3G28740/AT2G29500/AT1G59700/AT4G29340/AT2G30140/AT2G19310/AT2G15490/AT1G05560/AT1G75270/AT2G29480/AT2G29420/AT2G02390/AT3G23560/AT3G09270/AT1G79410/AT2G47730",36
